add(sub(a, b), sub(c, b))	add(sub(add(b, b), add(b, a)), sub(add(a, a), add(c, b)))	add(sub(add(c, c), add(b, c)), sub(protectedDiv(b, a), add(c, c)))	sub(add(sub(b, a), protectedDiv(a, b)), sub(protectedDiv(b, c), protectedDiv(c, a)))	add(add(sub(a, a), add(a, c)), sub(add(a, b), add(a, a)))	protectedDiv(a, b)	protectedDiv(sub(c, a), protectedDiv(a, b))	protectedDiv(protectedDiv(sub(a, c), sub(a, b)), protectedDiv(add(b, c), protectedDiv(a, b)))	protectedDiv(b, c)	sub(protectedDiv(a, b), add(b, b))	sub(c, b)	sub(b, b)	protectedDiv(sub(protectedDiv(a, b), add(c, c)), add(add(b, a), sub(c, c)))	sub(sub(b, b), sub(b, c))	sub(add(a, a), add(a, c))	sub(a, b)	sub(sub(sub(c, a), protectedDiv(b, b)), add(sub(c, a), protectedDiv(a, b)))	add(c, b)	protectedDiv(sub(add(c, b), sub(c, c)), protectedDiv(add(b, a), protectedDiv(b, b)))	protectedDiv(add(add(a, b), protectedDiv(a, c)), protectedDiv(add(a, c), protectedDiv(c, b)))
a	a	a	a	a	a	a	a	a	a	add(add(c, a), add(b, b))	c	sub(protectedDiv(a, b), sub(c, a))	sub(sub(c, c), protectedDiv(c, c))	a	a	protectedDiv(a, a)	a	a	a
a	a	protectedDiv(c, a)	a	a	c	add(a, a)	a	a	a	a	a	a	a	a	a	a	a	a	a
b	a	a	a	sub(protectedDiv(b, a), add(c, b))	a	a	a	a	a	a	sub(protectedDiv(c, b), add(a, b))	a	a	add(a, c)	a	a	a	a	sub(a, c)
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
a	a	a	a	a	a	a	a	a	a	a	protectedDiv(b, a)	a	a	a	sub(a, a)	a	a	a	a
add(b, c)	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	protectedDiv(b, b)
a	a	a	a	a	sub(a, c)	c	a	a	a	b	a	add(c, a)	sub(sub(a, c), add(c, b))	sub(sub(b, c), sub(c, a))	a	b	a	a	a
a	add(add(b, c), sub(c, a))	sub(a, b)	a	a	add(c, c)	a	a	a	protectedDiv(add(b, c), add(c, c))	a	protectedDiv(sub(a, a), add(a, a))	a	a	a	a	sub(sub(b, b), protectedDiv(c, b))	a	a	a
a	a	a	a	a	a	a	b	sub(b, a)	protectedDiv(a, a)	add(protectedDiv(c, c), add(b, a))	protectedDiv(protectedDiv(b, a), sub(c, b))	a	a	a	a	a	a	a	a
a	protectedDiv(protectedDiv(b, a), sub(c, b))	add(add(c, c), protectedDiv(a, a))	b	a	a	a	a	a	a	a	a	a	a	a	a	add(protectedDiv(c, c), sub(a, a))	a	a	a
a	a	a	add(b, c)	protectedDiv(c, a)	a	a	a	a	a	a	a	a	c	a	a	protectedDiv(b, a)	add(a, a)	protectedDiv(a, c)	a
a	a	a	a	a	a	a	a	a	a	a	add(a, c)	a	a	a	a	protectedDiv(a, c)	protectedDiv(add(b, b), protectedDiv(a, b))	a	a
protectedDiv(c, a)	a	protectedDiv(c, b)	a	a	protectedDiv(a, b)	a	a	a	a	a	a	sub(c, c)	a	a	a	a	add(protectedDiv(a, a), add(c, b))	a	b
a	a	a	a	a	a	a	add(c, a)	a	a	a	a	sub(protectedDiv(b, a), protectedDiv(c, a))	b	a	a	a	b	a	a
a	a	add(sub(b, a), sub(b, b))	a	b	protectedDiv(a, a)	a	c	sub(add(c, b), add(a, a))	a	a	a	c	a	a	add(add(a, a), add(b, c))	a	add(a, b)	a	b
a	a	a	add(add(a, c), add(b, a))	a	a	a	a	a	a	a	a	a	a	a	sub(add(b, b), sub(c, c))	a	a	a	a
a	a	a	a	a	a	add(b, a)	protectedDiv(add(b, c), add(b, a))	a	a	a	a	add(sub(b, a), protectedDiv(a, a))	a	a	a	a	a	sub(b, a)	add(sub(c, c), protectedDiv(b, b))
a	a	a	a	protectedDiv(c, a)	a	a	a	protectedDiv(protectedDiv(b, c), protectedDiv(c, c))	a	a	a	a	a	a	sub(c, c)	a	a	a	a
a	a	a	a	a	a	a	a	a	a	a	a	sub(protectedDiv(a, c), add(b, b))	a	a	a	a	a	a	a
a	a	a	a	sub(a, c)	a	sub(b, b)	protectedDiv(b, b)	protectedDiv(sub(a, b), protectedDiv(b, b))	a	a	a	a	a	a	a	sub(sub(c, a), add(a, b))	protectedDiv(b, b)	a	a
a	a	a	a	a	a	a	a	a	protectedDiv(add(a, b), add(a, b))	a	sub(c, c)	a	a	sub(sub(c, b), protectedDiv(b, b))	b	b	b	a	a
a	a	protectedDiv(sub(a, b), sub(c, b))	protectedDiv(add(a, b), add(a, b))	a	protectedDiv(a, a)	a	a	a	sub(sub(c, b), sub(b, b))	a	protectedDiv(protectedDiv(b, b), protectedDiv(c, b))	a	a	a	a	a	a	a	a
c	a	sub(add(c, a), sub(a, b))	a	add(add(b, b), add(a, a))	a	add(protectedDiv(c, a), add(c, c))	a	a	protectedDiv(protectedDiv(b, b), protectedDiv(c, b))	b	a	a	a	a	sub(a, a)	b	protectedDiv(protectedDiv(b, b), protectedDiv(c, b))	a	a
a	a	a	a	a	a	a	b	a	a	a	a	a	c	a	a	protectedDiv(protectedDiv(b, b), protectedDiv(c, b))	a	a	add(b, add(a, a))
a	a	a	a	a	sub(b, b)	c	a	sub(b, c)	a	add(protectedDiv(a, c), sub(b, c))	a	a	a	a	a	a	a	a	a
a	a	a	a	c	a	a	a	a	a	a	c	a	c	a	a	a	a	a	a
c	a	a	add(protectedDiv(a, b), sub(c, b))	a	a	add(b, a)	a	a	sub(sub(b, b), protectedDiv(a, c))	a	a	a	a	a	a	a	sub(b, b)	a	a
a	a	b	add(protectedDiv(c, b), add(a, a))	a	a	a	a	protectedDiv(protectedDiv(a, c), protectedDiv(a, c))	a	protectedDiv(b, c)	a	a	a	a	a	a	a	a	sub(c, b)
a	a	add(c, a)	a	a	a	a	a	protectedDiv(protectedDiv(a, c), sub(b, a))	a	a	a	a	a	a	a	a	a	sub(c, b)	a
a	protectedDiv(protectedDiv(a, b), add(b, c))	a	a	a	a	a	a	a	a	a	a	a	a	sub(sub(b, c), protectedDiv(a, b))	a	a	a	a	a
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	add(sub(b, a), protectedDiv(a, c))	a	a	a	a
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
a	a	a	add(add(b, a), sub(c, a))	sub(b, a)	a	a	a	a	a	a	sub(sub(a, a), protectedDiv(c, c))	a	a	a	a	a	a	a	a
a	a	a	protectedDiv(sub(c, b), add(a, b))	add(b, c)	a	a	a	c	a	a	protectedDiv(protectedDiv(a, c), sub(b, c))	a	a	b	a	a	a	a	a
a	b	protectedDiv(sub(c, b), add(a, b))	a	a	a	a	a	a	add(add(c, c), protectedDiv(b, b))	a	a	a	a	a	a	a	add(add(b, c), add(c, a))	a	a
b	a	a	a	sub(protectedDiv(c, b), add(a, b))	a	b	a	a	a	b	a	a	a	a	a	a	a	a	a
add(sub(b, c), add(b, c))	a	a	a	c	c	a	a	a	sub(a, c)	c	a	a	a	a	sub(protectedDiv(b, c), sub(b, c))	a	a	a	a
a	a	a	a	c	add(c, b)	a	a	a	a	a	add(c, b)	a	b	a	a	b	a	a	sub(add(a, c), sub(a, b))
a	a	a	a	a	a	a	a	add(sub(b, c), sub(b, a))	a	a	a	protectedDiv(protectedDiv(b, c), add(b, a))	a	a	a	a	a	a	a
add(add(a, c), protectedDiv(c, a))	a	a	a	c	protectedDiv(protectedDiv(a, c), sub(c, a))	protectedDiv(a, c)	a	a	a	a	sub(sub(c, c), add(c, b))	a	a	a	a	a	a	a	a
sub(b, a)	a	a	protectedDiv(a, c)	a	a	a	sub(protectedDiv(a, c), add(a, b))	a	a	a	a	a	a	a	a	a	a	a	a
a	a	a	add(sub(b, c), sub(b, b))	a	a	a	a	a	a	a	a	a	a	a	add(sub(b, a), sub(a, a))	a	protectedDiv(b, c)	protectedDiv(a, b)	a
a	a	a	a	a	a	a	a	a	a	a	a	add(sub(b, c), sub(b, b))	a	a	a	sub(a, c)	a	a	a
a	a	a	a	a	a	a	a	protectedDiv(sub(a, b), sub(c, c))	a	a	a	a	a	sub(sub(a, c), protectedDiv(a, b))	a	a	a	protectedDiv(add(c, c), protectedDiv(b, a))	a
a	a	a	a	a	a	a	a	protectedDiv(c, a)	a	a	a	a	a	a	a	a	add(b, b)	a	sub(a, c)
a	a	a	a	a	a	protectedDiv(b, a)	a	a	a	a	a	a	a	a	a	a	a	a	a
a	a	a	a	a	a	protectedDiv(sub(a, b), add(b, c))	c	a	a	add(sub(c, a), sub(c, a))	a	a	a	a	a	a	a	add(c, a)	a
a	a	a	a	a	a	protectedDiv(b, c)	a	a	a	a	sub(protectedDiv(b, a), protectedDiv(c, b))	a	a	a	a	a	a	a	a
a	a	a	a	a	protectedDiv(c, b)	a	b	a	a	a	a	protectedDiv(c, a)	a	a	a	a	a	a	a
sub(c, a)	sub(protectedDiv(a, c), add(a, a))	a	a	a	a	a	a	a	add(c, c)	a	a	a	a	a	a	a	a	a	a
add(c, a)	add(a, b)	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	protectedDiv(add(a, c), add(c, c))	a
a	a	a	a	a	sub(add(b, a), protectedDiv(b, b))	a	b	a	a	a	a	a	a	a	a	a	a	a	a
a	sub(sub(a, b), add(c, c))	c	a	a	c	a	a	protectedDiv(a, c)	a	a	a	a	a	a	a	a	a	a	a
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
protectedDiv(sub(b, c), sub(a, c))	a	a	c	c	a	a	a	a	b	a	a	sub(add(b, b), add(c, c))	a	a	a	a	a	a	a
a	a	a	a	a	a	a	a	a	a	add(a, a)	a	sub(sub(c, b), protectedDiv(c, a))	a	a	a	a	add(sub(b, b), protectedDiv(a, b))	a	b
a	a	c	b	a	a	a	add(protectedDiv(c, b), add(c, b))	a	a	a	a	a	a	sub(b, b)	add(c, b)	protectedDiv(c, a)	a	a	a
b	a	add(add(b, c), protectedDiv(b, b))	a	a	a	a	b	a	a	a	a	a	a	a	a	a	a	a	a
a	a	a	sub(a, b)	a	a	a	a	b	a	a	a	sub(a, c)	a	a	sub(add(a, b), add(a, b))	a	a	add(protectedDiv(a, c), protectedDiv(a, c))	a
a	a	a	add(sub(b, a), sub(c, a))	a	b	a	c	c	a	a	a	a	a	a	a	a	a	a	a
a	a	a	a	a	a	a	a	a	a	protectedDiv(add(a, a), add(a, b))	a	a	sub(sub(b, a), protectedDiv(b, a))	a	add(add(c, b), add(a, b))	a	a	a	sub(b, b)
a	a	a	a	a	sub(sub(b, a), add(a, a))	protectedDiv(add(a, c), sub(c, b))	c	a	add(add(c, b), add(a, b))	a	a	a	c	a	a	a	sub(protectedDiv(c, c), protectedDiv(b, b))	a	a
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	add(c, c)	sub(sub(b, a), add(a, a))	a
a	a	a	a	a	sub(add(b, b), add(c, c))	a	protectedDiv(a, c)	a	a	a	a	a	add(sub(b, a), protectedDiv(b, a))	a	a	sub(protectedDiv(b, b), sub(c, b))	a	a	a
a	a	a	c	a	sub(b, b)	add(add(a, c), add(c, c))	a	a	a	a	a	a	a	a	a	a	a	a	a
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	sub(c, b)	protectedDiv(c, a)	sub(c, a)	a	add(b, b)
a	a	a	a	a	a	a	a	a	c	a	a	a	a	c	protectedDiv(sub(a, b), add(a, c))	a	a	a	a
a	a	a	a	a	a	a	a	a	a	a	a	protectedDiv(sub(a, b), protectedDiv(b, b))	protectedDiv(b, c)	a	protectedDiv(sub(a, a), protectedDiv(c, c))	a	a	a	a
a	add(add(a, c), add(a, a))	a	a	a	a	a	a	a	a	sub(add(b, a), sub(a, a))	c	a	protectedDiv(add(c, b), sub(b, c))	a	b	a	a	a	a
a	a	a	a	a	a	a	a	a	a	a	protectedDiv(sub(a, b), protectedDiv(a, c))	add(a, c)	a	a	a	c	b	a	sub(a, c)
a	a	a	a	a	a	a	a	b	a	a	a	a	a	a	a	a	a	a	add(add(c, b), sub(b, c))
a	a	a	protectedDiv(sub(a, a), add(a, a))	a	a	a	a	a	a	a	a	a	a	a	protectedDiv(c, c)	a	a	sub(b, b)	a
a	protectedDiv(sub(a, a), add(a, sub(protectedDiv(b, b), protectedDiv(b, c))))	c	a	a	a	protectedDiv(c, c)	a	a	c	a	a	a	a	a	a	a	a	protectedDiv(sub(c, c), sub(b, b))	a
a	protectedDiv(sub(a, a), add(a, sub(protectedDiv(b, b), protectedDiv(b, c))))	a	a	protectedDiv(a, c)	a	a	a	protectedDiv(sub(a, a), add(a, sub(protectedDiv(b, b), protectedDiv(b, c))))	a	a	a	a	a	a	a	protectedDiv(sub(a, a), add(a, sub(protectedDiv(b, b), protectedDiv(b, c))))	b	sub(sub(b, b), sub(b, b))	a
a	a	a	protectedDiv(sub(a, a), add(a, sub(protectedDiv(b, b), protectedDiv(b, c))))	a	a	a	add(b, c)	a	a	a	a	protectedDiv(add(a, c), sub(a, c))	a	a	a	a	a	a	a
a	a	b	a	a	a	a	a	a	a	a	add(c, c)	a	a	a	a	a	a	a	a
c	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	add(a, b)
a	sub(add(a, a), add(a, b))	a	add(protectedDiv(a, a), protectedDiv(b, b))	a	a	a	a	a	a	a	a	a	a	a	protectedDiv(c, c)	a	a	a	a
a	sub(b, b)	a	a	protectedDiv(sub(c, c), sub(b, c))	a	a	add(a, a)	a	a	a	sub(sub(b, c), protectedDiv(c, c))	a	b	a	a	a	a	a	a
a	sub(sub(b, c), protectedDiv(c, c))	a	a	a	b	protectedDiv(add(c, a), sub(b, c))	a	a	add(protectedDiv(b, a), add(a, c))	sub(sub(a, c), protectedDiv(c, b))	a	sub(protectedDiv(a, a), protectedDiv(b, b))	add(add(a, a), protectedDiv(a, c))	protectedDiv(add(b, a), add(b, a))	a	c	sub(c, a)	a	a
a	a	a	a	a	a	a	a	a	a	protectedDiv(add(c, b), protectedDiv(c, a))	a	a	a	a	b	a	a	sub(a, a)	a
a	a	a	sub(sub(b, c), add(c, b))	a	a	a	a	a	a	a	a	a	a	b	a	a	a	a	a
a	a	a	a	protectedDiv(c, b)	a	a	a	a	a	a	a	a	c	a	a	a	a	a	a
a	a	a	sub(b, a)	a	protectedDiv(sub(b, a), sub(b, a))	add(sub(c, c), protectedDiv(c, a))	a	a	b	a	a	a	a	a	a	protectedDiv(c, c)	a	a	a
a	a	a	a	a	a	a	a	a	a	protectedDiv(b, c)	c	a	b	a	a	a	a	a	protectedDiv(sub(a, c), add(a, a))
a	a	a	a	a	a	a	a	a	a	a	add(add(c, c), add(c, b))	sub(c, c)	a	protectedDiv(sub(a, a), add(b, a))	a	a	sub(a, a)	a	a
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
a	a	a	a	a	a	a	a	b	a	add(a, b)	a	a	a	a	a	a	protectedDiv(protectedDiv(c, b), protectedDiv(a, b))	b	a
add(protectedDiv(a, a), sub(b, b))	a	a	add(sub(c, a), sub(b, c))	a	a	a	a	a	a	a	protectedDiv(add(a, b), sub(b, b))	a	a	a	a	a	a	a	a
sub(sub(a, c), add(c, c))	a	a	a	a	a	a	sub(add(a, b), add(b, a))	a	a	add(protectedDiv(a, c), add(c, c))	add(protectedDiv(a, a), sub(b, b))	protectedDiv(protectedDiv(c, b), add(a, b))	a	a	a	a	a	a	a
protectedDiv(sub(c, b), add(c, b))	a	a	a	a	a	a	a	a	a	a	a	a	protectedDiv(a, b)	a	a	a	a	a	a
sub(b, c)	a	protectedDiv(protectedDiv(b, a), add(a, a))	a	a	a	protectedDiv(sub(b, c), add(b, a))	a	sub(add(b, c), add(a, a))	a	sub(sub(c, a), protectedDiv(a, c))	a	a	a	a	a	a	a	a	a
a	a	a	a	sub(a, b)	a	a	a	a	a	a	protectedDiv(sub(b, c), protectedDiv(sub(a, b), add(c, c)))	a	a	a	protectedDiv(a, b)	a	a	a	a
a	a	sub(protectedDiv(b, c), add(c, c))	protectedDiv(protectedDiv(a, a), protectedDiv(c, a))	c	add(c, c)	a	a	a	a	add(sub(c, b), add(b, a))	a	a	a	a	protectedDiv(sub(a, c), add(a, c))	a	a	a	a
sub(a, c)	a	a	a	a	a	protectedDiv(add(c, c), sub(c, a))	add(protectedDiv(c, b), add(c, a))	a	sub(add(c, a), sub(a, c))	c	a	a	a	a	a	c	a	a	a
a	a	a	a	a	a	a	a	sub(add(c, c), sub(c, a))	a	protectedDiv(add(a, a), protectedDiv(a, c))	a	a	a	add(c, b)	a	a	sub(c, c)	a	a
sub(a, b)	a	a	a	a	a	a	add(sub(b, a), sub(b, a))	a	a	protectedDiv(add(c, b), sub(c, c))	a	a	c	a	a	add(c, b)	a	a	a
sub(a, c)	a	a	c	a	a	a	a	a	a	protectedDiv(protectedDiv(c, b), sub(a, a))	a	a	a	a	a	add(add(b, c), add(a, b))	a	c	a
a	a	a	add(c, a)	a	a	a	a	a	add(sub(b, c), protectedDiv(c, c))	a	a	a	a	a	sub(add(a, c), sub(c, a))	sub(c, a)	sub(add(b, a), protectedDiv(c, c))	a	a
a	a	a	protectedDiv(sub(a, c), protectedDiv(a, a))	a	protectedDiv(c, b)	c	a	sub(c, a)	a	a	a	a	add(sub(c, b), protectedDiv(a, b))	a	a	a	a	a	a
add(b, b)	a	a	b	a	a	a	a	a	a	a	a	a	a	sub(a, a)	add(add(a, b), add(a, a))	a	a	a	a
a	a	a	a	a	add(protectedDiv(c, c), protectedDiv(c, b))	b	a	add(b, b)	a	a	a	a	sub(protectedDiv(c, c), protectedDiv(b, b))	sub(sub(a, c), sub(a, b))	a	a	a	a	a
a	a	a	a	a	a	a	protectedDiv(add(c, c), add(b, a))	a	a	a	a	a	a	a	a	a	a	a	a
a	a	a	a	a	add(protectedDiv(a, c), protectedDiv(a, c))	a	a	a	a	a	a	a	b	a	protectedDiv(a, a)	a	a	a	a
a	a	a	a	a	a	protectedDiv(a, a)	a	a	a	a	a	a	a	sub(add(c, b), add(c, c))	a	a	a	a	a
a	a	protectedDiv(c, c)	a	a	a	a	a	a	add(add(b, a), add(c, a))	a	a	a	protectedDiv(sub(c, a), protectedDiv(c, c))	a	a	a	a	a	a
a	a	a	a	add(c, b)	a	a	a	a	add(a, a)	a	c	a	a	sub(b, a)	a	sub(protectedDiv(a, a), protectedDiv(b, b))	sub(add(b, a), add(a, b))	a	a
sub(sub(a, b), sub(c, b))	a	a	a	sub(b, c)	a	a	a	a	a	add(b, c)	a	b	a	a	b	a	a	sub(sub(a, a), protectedDiv(a, a))	c
a	a	c	a	c	a	a	protectedDiv(b, b)	a	sub(a, c)	c	a	add(b, c)	protectedDiv(protectedDiv(c, c), sub(b, a))	a	a	a	b	a	a
a	a	add(sub(b, b), sub(c, a))	a	a	a	a	a	a	add(protectedDiv(b, b), protectedDiv(b, a))	a	a	a	a	a	a	a	a	b	a
a	a	a	a	a	a	a	a	a	c	a	a	a	a	a	a	a	a	a	a
a	a	a	a	a	a	a	add(protectedDiv(c, a), sub(b, a))	a	a	a	a	c	c	a	a	protectedDiv(add(b, a), protectedDiv(a, a))	a	add(protectedDiv(a, a), protectedDiv(b, b))	add(a, b)
a	a	a	add(protectedDiv(b, c), sub(b, c))	a	a	a	c	protectedDiv(protectedDiv(a, a), sub(a, c))	c	a	a	a	a	a	a	a	a	a	a
a	a	a	a	a	a	a	a	b	a	protectedDiv(protectedDiv(b, b), add(a, c))	a	a	protectedDiv(protectedDiv(a, a), sub(a, c))	a	c	a	a	a	sub(sub(c, a), protectedDiv(a, a))
a	a	a	a	add(add(c, a), add(c, a))	a	a	a	protectedDiv(protectedDiv(b, b), add(a, c))	a	a	a	add(sub(b, c), sub(a, b))	a	a	a	a	a	a	add(c, b)
a	a	a	add(add(c, a), add(c, a))	b	a	a	a	a	protectedDiv(add(a, c), protectedDiv(a, b))	a	a	a	a	a	a	a	c	a	a
a	a	a	a	sub(add(b, c), add(a, c))	a	a	a	a	a	a	a	a	a	a	protectedDiv(b, b)	a	a	a	a
protectedDiv(c, c)	b	a	sub(sub(b, b), sub(a, a))	b	a	a	a	a	a	a	a	protectedDiv(add(a, a), sub(b, a))	a	a	a	a	a	add(a, a)	a
a	a	a	a	protectedDiv(sub(b, a), sub(b, a))	a	a	a	a	a	a	a	sub(c, c)	protectedDiv(add(b, b), add(b, b))	a	protectedDiv(protectedDiv(b, b), protectedDiv(c, c))	add(c, b)	a	a	a
b	a	add(add(c, c), sub(b, b))	sub(sub(c, b), add(b, b))	add(sub(c, a), sub(c, a))	a	a	a	a	a	a	a	a	a	a	a	a	protectedDiv(b, c)	a	a
protectedDiv(b, a)	c	c	a	a	a	a	a	a	a	a	a	add(sub(b, b), sub(a, c))	a	a	a	a	c	a	add(a, b)
a	protectedDiv(b, a)	a	a	a	a	add(a, c)	a	a	a	a	sub(c, c)	a	a	a	a	c	a	a	protectedDiv(b, b)
a	a	a	a	a	sub(c, c)	a	a	a	a	a	a	a	protectedDiv(add(b, c), protectedDiv(b, b))	a	a	a	a	c	a
a	a	a	a	a	sub(protectedDiv(c, b), protectedDiv(c, c))	a	a	a	a	a	a	a	a	a	a	protectedDiv(add(b, c), protectedDiv(b, b))	a	a	a
a	a	a	protectedDiv(add(c, b), protectedDiv(b, b))	a	a	a	a	add(protectedDiv(a, a), protectedDiv(a, a))	a	a	a	a	a	a	a	a	a	a	a
a	a	a	a	protectedDiv(c, a)	a	c	sub(b, a)	a	c	a	a	a	a	protectedDiv(add(c, b), protectedDiv(b, b))	sub(protectedDiv(b, a), add(c, c))	b	a	a	a
a	a	a	a	a	protectedDiv(c, c)	a	a	c	a	a	a	a	a	sub(b, a)	a	a	a	c	a
a	a	a	a	a	a	a	add(protectedDiv(c, a), add(a, a))	a	protectedDiv(sub(a, c), protectedDiv(a, a))	a	a	c	a	a	a	add(b, a)	a	sub(sub(c, a), sub(b, c))	a
a	a	a	a	a	a	protectedDiv(protectedDiv(a, c), sub(c, a))	a	a	a	a	a	a	a	a	a	a	a	a	a
c	a	a	add(a, b)	a	add(protectedDiv(a, b), add(b, b))	a	a	a	a	a	a	a	sub(c, a)	a	a	b	a	a	a
a	sub(add(b, a), protectedDiv(c, b))	a	a	a	a	a	a	a	a	a	a	a	a	sub(protectedDiv(c, c), sub(c, c))	a	a	a	c	a
a	a	a	a	a	a	a	a	a	protectedDiv(add(b, b), protectedDiv(c, b))	c	a	a	b	a	a	a	a	a	a
a	protectedDiv(add(a, b), sub(c, b))	a	a	a	a	a	a	add(add(c, b), protectedDiv(a, b))	sub(a, c)	a	a	a	a	sub(protectedDiv(c, a), add(b, b))	a	a	a	a	a
b	a	a	protectedDiv(sub(a, a), add(b, b))	a	a	a	a	a	a	a	a	a	protectedDiv(a, a)	add(c, c)	protectedDiv(c, c)	add(sub(a, a), protectedDiv(a, c))	a	a	a
a	a	a	a	a	a	a	a	a	add(c, a)	a	a	a	a	a	a	a	a	a	a
a	a	a	add(c, a)	a	a	a	a	a	sub(a, a)	a	add(protectedDiv(c, c), protectedDiv(b, b))	a	a	a	a	a	a	b	a
a	a	a	a	a	a	a	a	b	a	a	a	a	protectedDiv(protectedDiv(b, c), add(b, a))	a	a	a	a	a	a
a	a	a	sub(a, a)	a	sub(protectedDiv(a, c), add(b, a))	a	a	a	a	a	a	a	a	a	sub(a, a)	a	a	a	a
a	sub(b, c)	a	a	a	a	a	a	a	a	a	add(c, b)	a	a	a	a	a	a	a	b
a	a	a	a	a	c	a	a	a	a	a	a	a	a	a	a	a	a	a	a
a	a	a	a	a	a	a	a	a	a	a	a	a	b	a	a	protectedDiv(b, a)	a	a	a
protectedDiv(c, c)	a	a	a	a	a	add(sub(b, c), add(b, a))	a	sub(sub(c, b), protectedDiv(c, b))	add(b, b)	a	c	a	a	a	a	a	a	a	a
b	a	b	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	protectedDiv(sub(c, a), protectedDiv(b, b))
a	a	a	a	a	a	a	a	a	a	a	sub(add(b, b), add(c, c))	a	sub(sub(a, b), protectedDiv(b, b))	a	a	a	a	a	a
a	a	a	a	a	a	a	a	a	a	a	a	c	a	a	a	a	a	a	a
a	a	a	a	a	a	a	a	a	a	a	a	a	a	add(a, a)	a	a	a	a	a
a	protectedDiv(a, c)	a	a	a	a	b	a	a	a	a	a	a	a	a	a	a	a	b	a
b	a	a	a	a	a	b	a	add(protectedDiv(a, c), add(a, c))	a	a	a	a	a	a	a	a	a	a	a
add(c, a)	a	add(add(a, b), add(a, a))	a	a	a	a	a	a	sub(protectedDiv(c, c), add(c, a))	a	a	a	a	a	a	a	a	a	a
a	a	a	sub(a, b)	a	a	a	a	a	a	a	a	a	protectedDiv(add(c, a), protectedDiv(c, c))	a	a	add(a, a)	a	a	a
a	protectedDiv(c, a)	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
b	add(b, a)	b	a	a	a	a	a	a	a	a	add(b, c)	sub(add(c, c), add(c, a))	a	a	a	a	a	a	a
a	a	a	a	a	a	a	a	a	a	a	a	a	a	sub(add(b, c), add(a, b))	a	sub(protectedDiv(a, b), add(a, b))	protectedDiv(protectedDiv(a, a), protectedDiv(a, a))	a	a
a	a	a	a	a	protectedDiv(protectedDiv(c, a), sub(a, a))	sub(sub(b, a), sub(b, b))	a	a	a	a	add(add(a, a), sub(a, b))	a	a	a	a	a	protectedDiv(sub(c, c), add(b, b))	a	a
a	a	protectedDiv(sub(b, b), sub(c, a))	a	a	a	a	a	a	a	c	a	a	a	a	a	a	a	a	a
a	a	a	add(a, c)	a	c	a	c	c	b	a	a	a	a	c	a	a	a	a	protectedDiv(b, c)
a	protectedDiv(a, b)	a	protectedDiv(b, b)	c	a	a	c	a	a	b	a	a	a	a	a	a	protectedDiv(c, c)	a	a
a	a	a	a	a	a	c	a	sub(b, b)	c	a	a	protectedDiv(b, c)	a	a	a	c	a	a	add(a, b)
a	b	protectedDiv(b, a)	a	a	a	b	a	a	a	add(add(b, c), add(a, a))	a	a	a	a	a	a	a	protectedDiv(sub(a, b), protectedDiv(b, b))	a
a	a	protectedDiv(protectedDiv(b, c), sub(b, a))	a	a	a	a	a	protectedDiv(add(c, b), protectedDiv(a, c))	a	a	a	a	sub(b, b)	a	a	a	a	a	a
a	c	a	a	a	a	sub(a, c)	a	a	a	a	a	a	a	a	protectedDiv(c, c)	b	a	sub(a, c)	a
a	a	a	a	a	sub(protectedDiv(c, c), sub(b, b))	sub(sub(c, a), sub(b, a))	c	a	a	a	a	a	a	add(c, a)	a	a	a	a	add(add(b, c), protectedDiv(a, b))
b	a	a	a	a	a	a	a	sub(b, c)	a	a	c	a	a	a	a	a	a	protectedDiv(add(b, a), add(b, a))	add(c, c)
a	a	a	a	add(b, b)	a	a	a	a	a	a	sub(add(c, a), sub(a, b))	a	a	a	a	a	a	a	a
a	a	a	c	a	a	a	a	a	a	a	a	a	a	c	a	a	a	a	a
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
a	a	sub(protectedDiv(b, b), sub(a, b))	a	a	a	a	a	a	a	a	a	b	add(protectedDiv(a, c), sub(b, a))	a	a	a	a	a	a
a	sub(protectedDiv(c, b), add(c, c))	add(add(c, c), protectedDiv(b, c))	sub(b, b)	a	a	a	a	a	a	a	add(protectedDiv(a, c), add(b, a))	a	a	a	protectedDiv(b, c)	a	a	sub(add(b, c), protectedDiv(c, a))	a
protectedDiv(b, c)	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
