mul(c, 0.5)	protectedDiv(add(mul(c, 4), mul(b, b)), protectedDiv(sub(d, d), sub(c, b)))	add(protectedDiv(add(2, b), sub(b, a)), add(sub(2, c), add(4, b)))	protectedDiv(mul(mul(a, 2), protectedDiv(c, a)), sub(sub(d, 0.5), mul(0.5, 3)))	protectedDiv(mul(2, c), protectedDiv(a, d))	sub(protectedDiv(sub(a, 4), add(0.5, b)), sub(sub(a, b), mul(b, c)))	add(add(mul(c, 0.5), protectedDiv(2, d)), protectedDiv(add(b, 3), mul(c, 0.5)))	protectedDiv(add(mul(a, c), protectedDiv(0.5, a)), protectedDiv(mul(c, a), mul(a, 0.5)))	protectedDiv(4, 0.5)	add(mul(protectedDiv(a, 0.5), protectedDiv(d, d)), mul(mul(d, b), protectedDiv(a, d)))	protectedDiv(mul(3, a), protectedDiv(b, a))	add(sub(c, b), sub(d, 0.5))	protectedDiv(sub(sub(0.5, c), mul(c, 0.5)), mul(add(3, d), add(a, a)))	sub(mul(add(c, d), protectedDiv(4, d)), add(protectedDiv(a, b), protectedDiv(b, d)))	add(add(mul(c, a), protectedDiv(c, a)), add(protectedDiv(b, 0.5), add(b, d)))	add(protectedDiv(d, c), add(0.5, 0.5))	sub(b, b)	sub(add(add(2, 0.5), mul(a, 0.5)), mul(add(c, 0.5), protectedDiv(4, a)))	sub(mul(c, d), protectedDiv(d, 3))	sub(protectedDiv(0.5, c), sub(a, a))
sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, c), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(d, a), 3))	sub(mul(protectedDiv(sub(d, d), protectedDiv(2, 0.5)), d), protectedDiv(add(mul(c, d), a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(3, 0.5))	sub(mul(d, d), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(c, 3))	sub(mul(d, d), protectedDiv(add(add(c, a), a), 3))	sub(3, protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(mul(c, d), a), mul(c, c)))	sub(mul(c, c), protectedDiv(add(c, a), 3))	sub(mul(d, d), c)	sub(mul(c, d), protectedDiv(add(c, a), 3))	sub(mul(d, d), protectedDiv(3, 0.5))	sub(3, protectedDiv(3, 0.5))	sub(mul(c, d), protectedDiv(add(c, a), mul(c, d)))	sub(mul(c, a), protectedDiv(add(d, mul(sub(a, d), add(d, a))), 3))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))
sub(mul(protectedDiv(sub(d, d), protectedDiv(2, 0.5)), d), protectedDiv(add(0.5, a), 3))	sub(mul(c, d), protectedDiv(3, mul(c, d)))	sub(mul(d, d), protectedDiv(add(c, a), add(protectedDiv(3, 0.5), mul(b, 0.5))))	sub(mul(c, d), protectedDiv(add(c, a), 3))	add(mul(protectedDiv(add(c, 0.5), 3), protectedDiv(c, d)), mul(c, d))	sub(mul(protectedDiv(sub(d, d), protectedDiv(2, a)), d), protectedDiv(add(mul(c, d), a), 3))	sub(mul(protectedDiv(sub(d, d), protectedDiv(2, 0.5)), c), protectedDiv(add(mul(c, d), a), 3))	sub(0.5, protectedDiv(add(d, a), 3))	sub(mul(protectedDiv(sub(d, d), protectedDiv(2, 0.5)), d), protectedDiv(add(protectedDiv(3, 0.5), a), 3))	sub(mul(d, d), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(0.5, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	sub(sub(b, c), protectedDiv(add(c, a), 3))	sub(b, 0.5)	sub(3, protectedDiv(c, 3))	sub(3, protectedDiv(mul(c, d), 0.5))	sub(mul(c, d), mul(d, d))	sub(protectedDiv(3, 0.5), protectedDiv(3, 0.5))
sub(add(a, d), protectedDiv(c, 3))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	sub(0.5, protectedDiv(add(d, a), 3))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	sub(sub(b, c), protectedDiv(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), 3))	add(add(c, a), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	sub(mul(c, d), mul(d, d))	sub(3, protectedDiv(c, 3))	add(mul(protectedDiv(add(sub(protectedDiv(b, c), protectedDiv(d, 4)), a), 3), protectedDiv(c, d)), mul(c, d))	add(sub(protectedDiv(b, d), mul(a, 0.5)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	sub(mul(d, d), protectedDiv(add(3, a), add(protectedDiv(3, 0.5), mul(b, c))))	sub(mul(0.5, d), mul(sub(d, 3), d))	sub(3, protectedDiv(c, 3))	sub(protectedDiv(mul(b, 4), mul(0.5, d)), protectedDiv(c, 3))	add(mul(protectedDiv(add(mul(mul(0.5, 0.5), mul(0.5, 0.5)), 0.5), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	sub(sub(b, c), protectedDiv(add(c, a), 3))	sub(mul(c, d), protectedDiv(add(c, a), 3))
sub(sub(b, c), protectedDiv(add(c, 0.5), 3))	sub(mul(a, d), mul(sub(d, 3), d))	sub(sub(b, c), protectedDiv(add(c, a), 3))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	sub(mul(0.5, d), mul(sub(d, 3), d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(3, d)), mul(c, d))	sub(3, protectedDiv(c, c))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(sub(protectedDiv(b, d), mul(a, 0.5)), mul(c, d))	add(mul(protectedDiv(add(c, 4), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(d, mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, mul(protectedDiv(add(c, a), 3), protectedDiv(c, d))))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	sub(mul(c, d), mul(d, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, mul(c, d)))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), d)	add(mul(protectedDiv(a, 2), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, c))
add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), add(c, a)), protectedDiv(c, d)), mul(c, d))	add(b, mul(c, d))	add(mul(protectedDiv(a, 3), protectedDiv(c, d)), d)	add(mul(protectedDiv(add(c, add(c, a)), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 2), protectedDiv(3, d)), mul(c, d))	sub(sub(b, c), protectedDiv(add(c, 0.5), 3))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	protectedDiv(4, a)	add(mul(mul(0.5, a), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), add(c, a)), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, 4), 3), protectedDiv(c, d)), mul(c, d))
add(mul(protectedDiv(add(c, mul(protectedDiv(add(c, a), 3), protectedDiv(c, d))), 3), protectedDiv(c, d)), mul(c, d))	add(a, mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, protectedDiv(c, d)))	add(mul(protectedDiv(add(c, a), 3), d), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, c))	add(mul(protectedDiv(add(c, a), 3), add(add(b, d), add(d, c))), mul(d, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), b), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), sub(b, c)), protectedDiv(c, d)), mul(c, d))	sub(3, protectedDiv(add(c, 0.5), 3))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	protectedDiv(4, protectedDiv(c, d))	add(mul(protectedDiv(add(c, a), 3), a), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(c, d))
add(mul(protectedDiv(add(c, mul(protectedDiv(add(c, a), 3), protectedDiv(c, d))), 3), protectedDiv(c, d)), d)	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, mul(c, d)))	add(c, mul(c, d))	protectedDiv(4, protectedDiv(mul(protectedDiv(3, 3), protectedDiv(3, d)), d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	sub(3, protectedDiv(add(c, 0.5), sub(add(c, c), mul(b, b))))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), c)	sub(3, protectedDiv(add(c, 0.5), 3))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(c, d))	add(a, mul(c, d))	add(mul(protectedDiv(add(c, mul(protectedDiv(add(c, a), 3), protectedDiv(c, d))), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), 3)	add(mul(protectedDiv(add(c, a), mul(c, d)), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, add(0.5, d)))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(2, 0.5)), mul(c, d))
add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), 3)	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(3, 3), sub(protectedDiv(b, c), protectedDiv(2, c))), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(c, a), 3), protectedDiv(2, 0.5)))	add(mul(c, d), mul(c, d))	sub(3, protectedDiv(add(c, 0.5), 3))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), 3)	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(3, 3), add(c, c)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, mul(c, d)))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), d)	add(mul(protectedDiv(add(c, protectedDiv(add(c, a), 3)), 3), protectedDiv(c, d)), mul(c, d))	add(mul(a, protectedDiv(2, 0.5)), mul(c, d))	add(c, mul(c, add(2, b)))	sub(3, protectedDiv(add(c, 0.5), sub(add(c, c), mul(d, b))))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(0.5, a), 3), protectedDiv(c, d)), mul(c, d))
add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(c, a), 3), protectedDiv(2, 0.5)))	add(add(d, c), mul(c, d))	add(mul(protectedDiv(d, 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, add(c, a))), mul(c, d))	sub(3, sub(mul(d, a), mul(d, 2)))	sub(3, protectedDiv(0.5, 3))	add(c, mul(protectedDiv(add(c, a), 3), protectedDiv(2, 0.5)))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a), 3), protectedDiv(2, 0.5)))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), add(protectedDiv(b, 3), add(a, 4))), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(3, protectedDiv(2, 0.5)))	sub(3, protectedDiv(add(c, 0.5), protectedDiv(add(c, a), 3)))	add(c, mul(c, add(2, b)))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(d, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, c)), mul(c, d))	add(mul(protectedDiv(3, 3), sub(protectedDiv(b, c), protectedDiv(2, c))), mul(c, d))	sub(3, protectedDiv(add(c, 0.5), 3))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(add(c, a), d)), mul(c, d))	add(mul(protectedDiv(c, 3), protectedDiv(c, d)), mul(c, d))
sub(3, 0.5)	sub(3, protectedDiv(add(c, protectedDiv(add(c, 0.5), 3)), 3))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, 3)), mul(c, d))	add(mul(protectedDiv(3, 3), protectedDiv(add(c, a), d)), mul(protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a), 3), protectedDiv(2, 0.5)))	add(mul(c, protectedDiv(c, add(c, a))), mul(c, d))	add(c, mul(protectedDiv(add(c, a), 3), protectedDiv(sub(4, 0.5), sub(a, a))))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, d)), mul(c, d))	sub(3, protectedDiv(add(c, 0.5), 3))	add(mul(protectedDiv(3, 3), sub(protectedDiv(b, c), protectedDiv(2, c))), mul(c, d))	sub(3, protectedDiv(add(c, 0.5), 3))	sub(3, protectedDiv(0.5, add(c, 0.5)))	sub(3, protectedDiv(3, 3))	add(mul(protectedDiv(add(c, d), 3), protectedDiv(c, add(c, a))), mul(c, d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, a)), mul(c, d))	sub(3, 0.5)	sub(3, protectedDiv(add(c, protectedDiv(add(c, 0.5), 3)), protectedDiv(add(c, a), 3)))	sub(3, protectedDiv(add(c, 0.5), 3))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a), 3), protectedDiv(2, 0.5)))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(c, a), 3), d))	add(mul(protectedDiv(add(c, a), 3), protectedDiv(c, protectedDiv(2, 0.5))), mul(c, d))
add(mul(add(c, 0.5), protectedDiv(c, d)), mul(c, d))	sub(3, protectedDiv(protectedDiv(add(c, a), 3), 3))	sub(3, protectedDiv(0.5, add(c, 0.5)))	sub(3, protectedDiv(add(c, 0.5), 3))	add(mul(protectedDiv(add(sub(a, b), a), 3), protectedDiv(c, d)), mul(c, d))	add(mul(protectedDiv(add(c, c), 3), protectedDiv(c, d)), mul(c, d))	sub(3, protectedDiv(add(c, 0.5), 3))	add(mul(protectedDiv(3, 3), sub(protectedDiv(b, c), protectedDiv(2, c))), mul(c, d))	sub(3, 3)	sub(protectedDiv(add(c, 0.5), 3), protectedDiv(add(c, 0.5), c))	sub(3, protectedDiv(3, 3))	sub(3, 0.5)	sub(protectedDiv(mul(d, b), protectedDiv(b, 0.5)), protectedDiv(add(c, 0.5), 3))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(mul(protectedDiv(3, 3), mul(d, b)), a), 3), protectedDiv(2, 0.5)))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a), add(c, 0.5)), protectedDiv(2, 0.5)))	sub(3, protectedDiv(3, 3))	add(mul(protectedDiv(c, 3), sub(protectedDiv(b, c), protectedDiv(2, c))), mul(c, d))	sub(3, protectedDiv(add(3, 0.5), 3))	sub(3, protectedDiv(add(c, 0.5), 3))	sub(3, protectedDiv(0.5, add(c, 0.5)))
add(mul(protectedDiv(c, 3), sub(protectedDiv(b, c), protectedDiv(2, c))), mul(c, d))	sub(3, protectedDiv(protectedDiv(add(c, a), 3), 3))	sub(3, protectedDiv(0.5, protectedDiv(c, 3)))	add(mul(add(c, 0.5), sub(protectedDiv(b, c), protectedDiv(2, c))), mul(c, d))	sub(protectedDiv(mul(d, b), protectedDiv(b, 0.5)), protectedDiv(add(3, 0.5), 3))	sub(c, protectedDiv(add(c, 0.5), 3))	sub(3, protectedDiv(add(c, 0.5), 3))	sub(3, protectedDiv(0.5, add(c, 0.5)))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(protectedDiv(add(c, 0.5), 3), add(c, 0.5)), protectedDiv(2, 0.5)))	sub(3, add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a), add(c, 0.5)), protectedDiv(2, 0.5)))	b	sub(c, protectedDiv(add(c, 0.5), 3))	sub(3, protectedDiv(0.5, add(protectedDiv(mul(d, b), protectedDiv(b, 0.5)), 0.5)))	sub(3, protectedDiv(add(c, 0.5), 3))	sub(3, protectedDiv(0.5, add(c, 0.5)))	sub(3, protectedDiv(0.5, add(a, 0.5)))	sub(3, protectedDiv(3, 3))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a), add(c, 0.5)), protectedDiv(2, 0.5)))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a), add(c, 0.5)), protectedDiv(2, 0.5)))
add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a), add(c, 0.5)), protectedDiv(2, 0.5)))	sub(3, protectedDiv(add(c, 0.5), 3))	add(mul(protectedDiv(c, 3), sub(protectedDiv(b, c), protectedDiv(2, c))), mul(c, d))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a), add(c, 0.5)), protectedDiv(2, 0.5)))	sub(3, protectedDiv(0.5, add(c, 0.5)))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a), add(c, 0.5)), protectedDiv(2, 0.5)))	sub(3, protectedDiv(mul(d, b), 3))	sub(protectedDiv(add(c, 0.5), protectedDiv(b, 0.5)), protectedDiv(add(3, 0.5), 3))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a), add(c, 0.5)), protectedDiv(2, 0.5)))	add(mul(protectedDiv(c, 3), sub(protectedDiv(b, c), protectedDiv(2, c))), mul(c, d))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(mul(protectedDiv(3, 3), 4), a), add(c, 0.5)), protectedDiv(2, 0.5)))	sub(3, protectedDiv(0.5, add(c, 0.5)))	add(mul(add(c, 3), sub(protectedDiv(b, c), protectedDiv(2, c))), mul(c, d))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(mul(protectedDiv(3, 0.5), protectedDiv(3, d)), a), add(c, 0.5)), protectedDiv(2, 0.5)))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a), add(c, 0.5)), protectedDiv(2, 0.5)))	sub(3, protectedDiv(add(c, 0.5), 3))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(sub(a, d), add(4, d)), protectedDiv(2, 0.5)))	add(mul(protectedDiv(3, 3), 3), mul(protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a), add(c, 0.5)), protectedDiv(2, 0.5)))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(protectedDiv(add(c, 0.5), 3), add(c, 0.5)), protectedDiv(2, 0.5)))	sub(3, protectedDiv(add(c, 0.5), 3))
add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a), add(c, 0.5)), protectedDiv(2, 0.5)))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a), add(c, 0.5)), protectedDiv(2, 0.5)))	add(mul(protectedDiv(3, 3), b), mul(protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a), 0.5), protectedDiv(2, 0.5)))	c	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), protectedDiv(3, 3))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(mul(mul(protectedDiv(sub(a, d), add(4, d)), protectedDiv(2, 0.5)), protectedDiv(3, d)), a), add(c, 0.5)), protectedDiv(2, 0.5)))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(a, a), add(c, 0.5)), protectedDiv(2, 0.5)))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a), add(c, 0.5)), protectedDiv(2, 0.5)))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a), add(c, 0.5)), protectedDiv(protectedDiv(3, d), 0.5)))	add(mul(protectedDiv(3, 3), 2), mul(protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a), add(c, 0.5)), protectedDiv(2, 0.5)))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(protectedDiv(add(c, 0.5), sub(a, d)), add(c, 0.5)), protectedDiv(2, 0.5)))	sub(3, protectedDiv(0.5, add(c, a)))	add(mul(protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a), add(c, 0.5)), protectedDiv(2, 0.5)), mul(c, d))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(c, 3), sub(protectedDiv(b, c), protectedDiv(2, c))))	add(mul(protectedDiv(c, 3), sub(protectedDiv(b, b), protectedDiv(2, c))), mul(c, d))	add(mul(protectedDiv(c, 3), sub(protectedDiv(c, c), protectedDiv(2, c))), mul(c, d))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a), add(c, 0.5)), protectedDiv(2, 0.5)))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a), add(c, 0.5)), protectedDiv(2, 0.5)))	add(mul(protectedDiv(3, 3), protectedDiv(3, d)), mul(protectedDiv(add(mul(protectedDiv(3, 3), protectedDiv(3, d)), a), add(c, 0.5)), protectedDiv(2, 0.5)))	sub(3, protectedDiv(add(c, 0.5), 3))
